Intercept,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60
-6.631728317142134,-5.2698234098381285,-15.479402667707065,-2.158946234041473,14.225786997171825,-7.152446594904918,2.0541470956913357,-7.634601387394863,-3.2358926237325765,-2.8560129286825298,-1.8084590077658544,-4.711185191971141,-0.13732077586904992,0.13468034870587908,-2.44468403213245,0.7423952076247045,1.4330468151399651,-0.43903984253940553,1.1071001404009209,4.078621365953827,1.0388862823739462,1.7566864470952808,-4.332411227132698,1.5595074130974225,0.8250505900536153,0.0043561889007612264,-1.0863443088087485,-0.21250565974602525,-1.0529199664040427,1.4888927035189183,0.10680580028302884,1.1198344549132,-2.0444893190036195,-1.9352762388443603,-3.196218316617051,-0.6815253893312445,0.49422426133845093,-2.5628255235308512,-1.0459688847352135,0.21864446992334982,0.7452597146088397,1.229322980422955,-2.9262385482419524,1.9818301598211057,1.21845117458901,1.522433199448672,-0.34770080684241605,0.9579796356264678,2.2866336203402806,0.8127365237830896,-0.4374780100560611,1.6198112069924702,-1.5215171422687417,-1.2748143224829571,-0.3746420247470388,-1.7189192397005157,-0.6314237224235854,-2.1138027029761473,0.5045724295916075,-0.056894315941672796,0.9458270748844767
-5.846375365456857,-4.740420566724839,-14.750467418513043,-0.9769343560681549,13.797062694895589,-8.613800891306004,0.6826368719463981,-5.522862728230002,-3.464926788100338,-3.3568475549150842,-1.4062313357345446,-3.9423150019522555,-0.7444069688548716,0.20891147618759603,-2.917763562536104,0.9061636687158937,1.7195313276025497,-0.7616336107567769,1.6552262124909596,2.765297850886287,1.7189129628732756,0.7170957390217252,-2.805739200435019,0.5516429284446889,0.480320773804802,-0.9990338643789876,-0.17863720020358753,-0.038319234221449186,0.009772056249809702,2.573073563968934,0.6519307765240087,1.8495769546509133,-1.1356782598724744,-0.9762157749456366,-2.713700589425306,-0.6381233339009947,0.9153946236577091,-2.481444974509507,-0.8648207028945283,-0.4960241615679064,-0.5256420170157796,0.24441809271941725,-1.7607197310519833,0.6707301766333457,1.3160741257014532,2.1319082278656576,-0.2495143462021634,-0.321511665574832,2.1221782924458856,1.423738300840504,-0.3677653494938175,1.2005596997588617,-1.7143568654021597,-0.617659798614351,-0.42392864588680557,-0.9384985318765542,-1.2979331282297952,-1.8378665455719894,-0.7490032372968449,0.4396754095307607,-1.3806738085640622
-6.845925733802323,-4.071952988107286,-14.801120107529377,-0.2705013476758651,13.11060641970289,-8.348927533931136,0.6547158578435792,-7.44234986074056,-4.871054772460414,-3.075433437705393,-1.950994434866068,-4.434818832272928,-1.3172882209988768,0.3819771843472052,-2.7922386676129056,0.3739722939988328,0.9898151177360992,-0.9876893291766841,0.5275771802642077,2.957518188346208,0.17576959867547412,0.8293645320140604,-3.184245426146738,0.5176872659631967,-0.06394189284995991,-0.8117542327942546,-0.7571069977751522,-0.2762518148820178,0.6780532831799019,2.379805739948104,0.8577307341381385,-0.469743045881012,-1.431144252552354,-2.126951655771275,-3.4113550916673954,-0.7716053134208567,1.6047800721371743,-2.1753034777492832,-1.581186456827426,0.6988503732817322,-1.3456286472863923,0.043934049015198734,-2.286369689446113,0.9061771944777758,0.05076844523516166,2.3581254146025254,-1.2541525276253265,-0.5119131886098306,2.125410729278737,2.7175205518402996,-0.9497978007159453,0.7906723546806375,-1.587417633766113,0.4800123984529333,0.025760148103666492,0.6847332228263983,-0.16164843404667456,-0.6573550220815796,-1.7127375781383316,1.8524137992165695,0.09487702464838582
-5.736491384208793,-4.847133885318171,-14.392751030370807,1.3077567711265623,12.645505647205447,-9.0865572828213,2.9441403893107396,-6.465649383958285,-5.93265173808423,-3.808197679477372,-2.6518350598742,-3.6746283178142183,-0.39044308359830726,-0.8934883707894,-2.173360081985205,0.37632884532026173,1.6286482937432503,-0.6955340956540972,1.4317337713012306,3.0448161787127823,-0.961025315364159,1.0396932011148776,-1.0807922745576775,0.3251460698519243,0.17216886849002588,-1.1268973865560548,-2.1819361838340416,0.08546795126881834,0.469634592658209,1.4892879669951353,0.16055181597322343,1.2283002628803021,-1.3279633775588333,-0.9040578477462563,-3.048472965502152,-0.7935256522788952,0.11697260479336494,-2.1257050625687253,-1.6060118662437421,0.8398783734768716,-0.543941569640619,-0.4087398839088741,-0.6156062770967292,1.4474056767985262,-0.4579905829871117,2.361203559114854,-2.0237556556446212,-2.7968343535039244,2.7562745133868565,1.9990794314150129,-0.9275272509729648,1.0193316895801174,0.06303932733107588,-0.08773351374574873,0.06409504349996831,-0.35540046093608935,-0.5236629100885987,-0.13423575026779516,-0.9768623134301644,1.5678718648790109,-1.1037278603829068
-4.337743193118248,-4.009009406410582,-14.920950133507228,1.1105055688020917,12.933258184953372,-9.61166849167943,3.4616367113919257,-5.7951785721873,-5.041427035210091,-3.6170422584904895,-1.3787507460247297,-5.329236181604338,-1.5590113461071404,0.9395025634352526,-3.264434550512265,0.864125408403516,1.5426707760024876,0.2011936352350468,0.6626355351178949,1.765258077104094,-0.5279365475183646,1.4288809503006545,-0.6842013904075356,0.5546943972608682,0.18228802272989128,-1.7134698371545545,-1.9299259461210791,-0.25935808763141166,-0.8302508603875314,2.445374791317663,-0.7359844006701559,0.5330419718883687,-0.5947188410930454,-0.5905523082429777,-2.9236740945212456,-1.4768172631025256,0.9707894207642402,-0.4940363321097537,-1.692050234392422,0.7173005964713828,-0.050490928100835435,0.26932045627972495,-1.1563613603692098,-0.35451611858918797,-1.0921647926665488,1.2443445747720498,-2.339033764950067,-2.2359458571698676,1.6336642643840664,1.147001450093607,-1.0083663023564327,-0.33231352172432177,0.6784674078759731,-0.08523393803311215,0.5698469782962846,0.24879986593540665,-0.06638032021467086,0.4456135417340338,-0.1979175323240155,0.7523831685750574,-1.0103812960295868
-4.724684623433169,-3.7855054771327192,-14.961563513180486,-1.3504028437749016,11.90161763687984,-9.187985178389383,3.078399310090974,-6.101436583985138,-4.375548701162565,-2.5690030809099156,-2.3579298440062173,-3.4469976527697996,-0.49861190123837285,0.316691343808319,-2.4987201870415423,0.13521237722766755,0.6504348252228747,0.4835168429845316,-0.8004144045010747,1.2622666853254423,-1.133340767556687,1.6246980468960508,-0.6177962741803285,0.8709737936836076,-0.13702621997555553,-1.5972098075178793,-2.5729172329678964,2.0657401488706615,-2.535173209222153,3.1628071463157,-0.45386294693547247,1.0680880481889343,-0.7797072413176918,-0.6594636832390578,-3.225150119578144,-0.8750029645419003,0.2846748454288577,0.5845678887562571,-2.0848709434324846,1.0126164996233376,1.475934774380876,0.6324160934546215,-0.43827716279935025,-0.09547028510507971,-1.3489033904839514,0.5539798698908943,0.08329064089116467,-1.4040397682802874,3.437222906754026,1.7179371619339494,-1.1494608696423232,-0.7881654921361945,0.3567756258355833,-0.44702257264500495,-0.46442578836021986,-0.0621064593015179,-0.8341169697363274,-1.4964344723855072,-0.2264812530359878,-0.9465098347613927,-1.0559252898845506
-4.4207510474390315,-4.976555388107189,-13.765820653294414,-2.482557041815351,12.18487409128934,-9.691531159197725,2.6810569929144403,-5.897637089758199,-3.704147775538132,-1.4640967000928318,-0.6740228949549009,-4.901056477759076,-1.292325566882107,1.0640448025601283,-0.6074668447713972,0.502504954340153,1.7199680516441906,0.8274155602061463,0.9924688872369833,2.0600030155615103,-0.15899212836835014,0.9327015783472606,-1.2572349114417287,1.140443226933478,0.27784232358049354,-2.211555259787446,-1.1962552037389835,0.33271652756973336,-1.2045683613264804,1.4141396071027208,-0.19385559567053356,1.4318826380707674,-0.4149055201000079,-0.5242941949259492,-3.5749499439695893,-1.6554252010601536,-0.5053341491840171,0.19554495073331518,-1.4802995767981901,-0.2231750886771675,0.5272450892764349,0.3398313556281751,-0.9388283553909871,0.3494862045772636,-1.2668839375178087,0.1249964757743337,0.4652201982647604,0.260404570701943,2.160755388580827,1.5441777249992201,-0.5332347657657626,-0.4786931190787406,1.1490567401056608,-1.2911305419388874,-0.9644404340671754,0.614101718205317,-1.2728249851331395,-2.1730231559490583,1.5927495822655882,-1.550719363463097,-1.5131496866811494
-4.8797107419574175,-4.97724000920917,-14.05612919548333,-2.0491769297619924,12.730936923721009,-9.431396951570123,1.6526179756306385,-4.745982006187279,-3.5459443136174214,-0.8309231521676821,-0.8938175622314674,-6.218898323301893,-2.1607637610503696,0.8274744939314478,-2.2415091141799373,0.645160127829412,1.4238015237879664,0.2651128455626437,0.7096320914568186,1.8066310920640944,0.2854437864472978,0.9698007961002278,-1.2518629355175792,0.35115284910090117,0.5112748911784591,-1.0277755847374563,-1.4328219834123856,0.8466552831835579,-1.857078106891624,2.089473929985162,-0.8722505944060296,1.5519017192597329,-0.23451787185953193,-0.5734127846464558,-2.67454893730396,-2.089897800356157,0.22686762589895046,-1.0311633384370538,-1.81123665343635,0.4181283109617558,0.37916660671332586,1.2915574375499286,-1.2579774766168754,1.98011674851606,-0.235031292524201,-0.5692750764152081,-0.04528262712869805,-0.6920111122693469,1.823833988079949,0.3770546918293399,-0.8321973102514223,-0.4871863431206539,1.7891577430789762,-1.5542124478168318,-2.1054491789089713,0.06373359235877699,-2.099678748962591,0.27105446634160635,0.6284246286929004,-0.915129033025956,-1.1026654231112594
-4.7166212486862,-4.546119967672178,-13.843735875992412,-1.5453360019934486,13.438068084927433,-8.815902057396086,2.7364297167270752,-3.7018675237774206,-3.257713462081698,-0.3862480150570124,-1.6831373043921893,-6.133369927742921,-2.0028196552809208,-0.258419779514862,-1.8208838022122256,0.48428394871285196,-0.10080237327008522,0.40796256620925386,0.850562761683428,1.5835971763952794,-0.03409135253463189,0.15556204666951398,-0.29085651646610905,0.4227683859130618,-0.5588843928723178,-1.189835346570176,0.031044504610540383,1.9889145161120665,-2.914494258740142,1.913480973750296,-0.37082023662750047,1.8577319040001778,-1.0525324872237172,-1.569515973594485,-2.5019428673537045,-2.6281761193411395,-0.8325481873704352,-0.6346772560293751,-2.127082626454529,1.6114846228127067,-0.6113149892949865,-0.03442752599697735,-1.0650919716313834,-0.011300876205201787,-0.8813792713126868,-0.08546928364763264,1.0954716284315267,-0.6747464601085699,1.3432744849440839,0.7191442333259628,-1.338902380458862,-0.7325042652447259,2.47646894974076,-1.330724539163382,-1.6305003399112203,-0.22081229520335666,-1.7803046291298599,-0.9922791879866626,1.1246128226862808,-1.1531183554450388,-0.605393439079233
-4.3598477210996185,-4.391009804670019,-13.842215878015704,-1.7752051937012239,14.434792495444725,-7.705080134602574,3.113232444967864,-3.0618860948911832,-4.506513945622988,-0.5840085372717464,-0.34883915219242484,-6.481567478737816,-2.063212722712878,0.4690113572901577,-2.6339044646679826,-0.30167456092607114,-0.904317810048089,1.47188785080642,2.6849156459446815,2.6800835873569184,0.7580722982388512,0.9565587652379249,-1.6365719613194465,0.2755236995166859,0.7480683241116698,-1.2777762431429758,0.12475810512862415,2.6428931240453863,-1.4921509231273287,2.0056845175677553,-1.553407858049231,1.0052674510898896,-0.7613157882014521,-0.6467763622406706,-2.605380092630697,-1.9967469773054132,-0.5068374514011394,-1.8998298454353673,-1.1651400769772902,0.22913385131641018,0.5564240682964054,-0.8334780539395681,-1.1741550356081625,0.6081695479775334,-0.09683066953252902,-0.45706846641538196,0.6389494912642861,-1.0429841042061476,0.9444215548486926,1.3368816928973661,-0.8505206223101334,-1.5766866019904628,-0.47053777730630864,-1.144519298041648,-2.3571172263903644,0.06241484229046405,-0.3075794919262584,-0.16080093500096138,-0.8468667717907794,-0.8532007842442607,-1.3281793216637054
