metric,mean,std,min,max
logz,-387.48701223468123,0.2830543416416816,-388.24507104078486,-387.0214269575296
logzerr,0.581787558565874,0.016596658578297178,0.5535874498413743,0.6045036578338705
logz_resample_std,0.2973015958203166,0.0015926701680116927,0.2948862256361086,0.3011146277227986
H,26.51720727668866,0.2844972260094576,26.08736582097299,27.20100570859188
runtime,27.518859406666405,1.2197885542416051,25.79503449999902,30.38910339999711
ncall,252566.46666666667,3413.992048284109,245539,260521
n_iter,9429.533333333333,116.00675763114816,9207,9698
eff_nlive,1057.8333333333333,8.722081898473446,1041,1074
nlive_used,300.0,0.0,300,300
seed,1492.0,880.3408430829504,42,2942
converged,1.0,0.0,1,1
